episode,total_return,mean_reward,mean_temp_error,mean_power_kw,total_power_kwh,mean_co2_ppm,max_co2_ppm,total_co2_kg
1,-62.4040,-0.1040,0.7293,7.6266,76.2658,874.7,1045.2,8.156
2,-94.9704,-0.1583,0.6880,8.7868,87.8676,861.5,1052.1,9.692
3,-114.2551,-0.1904,0.8224,10.8012,108.0122,824.6,1044.5,11.076
4,-95.7758,-0.1596,0.8095,9.9401,99.4009,843.9,1030.4,10.854
5,-130.4102,-0.2174,0.8243,9.9812,99.8123,835.7,1037.5,10.450
1,-62.4040,-0.1040,0.7293,7.6266,76.2658,874.7,1045.2,8.156
2,-94.9704,-0.1583,0.6880,8.7868,87.8676,861.5,1052.1,9.692
1,-62.4040,-0.1040,0.7293,7.6266,76.2658,874.7,1045.2,8.156
2,-94.9704,-0.1583,0.6880,8.7868,87.8676,861.5,1052.1,9.692
3,-114.2551,-0.1904,0.8224,10.8012,108.0122,824.6,1044.5,11.076
1,-62.4040,-0.1040,0.7293,7.6266,76.2658,874.7,1045.2,8.156
2,-94.9704,-0.1583,0.6880,8.7868,87.8676,861.5,1052.1,9.692
1,-62.4040,-0.1040,0.7293,7.6266,76.2658,874.7,1045.2,8.156
2,-94.9704,-0.1583,0.6880,8.7868,87.8676,861.5,1052.1,9.692
1,-62.4040,-0.1040,0.7293,7.6266,76.2658,874.7,1045.2,8.156
1,-62.4040,-0.1040,0.7293,7.6266,76.2658,874.7,1045.2,8.156
2,-94.9704,-0.1583,0.6880,8.7868,87.8676,861.5,1052.1,9.692
1,-62.4040,-0.1040,0.7293,7.6266,76.2658,874.7,1045.2,8.156
2,-94.9704,-0.1583,0.6880,8.7868,87.8676,861.5,1052.1,9.692
