datetime,EF_kg_per_kWh
2025-06-19 00:00:00,0.309
2025-06-19 00:30:00,0.362
2025-06-19 01:00:00,0.383
2025-06-19 01:30:00,0.364
2025-06-19 02:00:00,0.359
2025-06-19 02:30:00,0.359
2025-06-19 03:00:00,0.349
2025-06-19 03:30:00,0.348
2025-06-19 04:00:00,0.305
2025-06-19 04:30:00,0.291
2025-06-19 05:00:00,0.295
2025-06-19 05:30:00,0.332
2025-06-19 06:00:00,0.341
2025-06-19 06:30:00,0.269
2025-06-19 07:00:00,0.213
2025-06-19 07:30:00,0.175
2025-06-19 08:00:00,0.15
2025-06-19 08:30:00,0.165
2025-06-19 09:00:00,0.16
2025-06-19 09:30:00,0.145
2025-06-19 10:00:00,0.0
2025-06-19 10:30:00,0.0
2025-06-19 11:00:00,0.0
2025-06-19 11:30:00,0.0
2025-06-19 12:00:00,0.0
2025-06-19 12:30:00,0.0
2025-06-19 13:00:00,0.0
2025-06-19 13:30:00,0.124
2025-06-19 14:00:00,0.134
2025-06-19 14:30:00,0.135
2025-06-19 15:00:00,0.163
2025-06-19 15:30:00,0.197
2025-06-19 16:00:00,0.22
2025-06-19 16:30:00,0.237
2025-06-19 17:00:00,0.261
2025-06-19 17:30:00,0.265
2025-06-19 18:00:00,0.315
2025-06-19 18:30:00,0.315
2025-06-19 19:00:00,0.308
2025-06-19 19:30:00,0.319
2025-06-19 20:00:00,0.328
2025-06-19 20:30:00,0.357
2025-06-19 21:00:00,0.374
2025-06-19 21:30:00,0.378
2025-06-19 22:00:00,0.385
2025-06-19 22:30:00,0.402
2025-06-19 23:00:00,0.386
2025-06-19 23:30:00,0.413
